fold,best_train_acc,best_train_acc_epoch,best_val_acc,best_val_acc_epoch,best_train_loss,best_train_loss_epoch,best_val_loss,best_val_loss_epoch
0,0.5253456221198156,10,0.25,9,1.2832464161007089,8,1.6055515834263392,3
1,0.5283018867924528,10,0.2950819672131147,4,1.2940222587225572,10,1.6680615769057978,7
2,0.5475113122171946,9,0.2884615384615384,8,1.297497644143946,9,1.6009208880938015,10
3,0.5590909090909091,10,0.2830188679245283,5,1.2761876301331954,10,1.6168168198387578,5
4,0.5675675675675675,10,0.29411764705882354,6,1.2936562450082452,10,1.5636518001556396,2
